Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2025-01-30 18:10:04,1122,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,7174984,859292
2025-01-30 18:10:21,7122,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,7302041,844018
