Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-11-13 07:02:34,464,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,3659363,2427552
2024-11-13 07:03:02,6456,VerletListsCells,1.000000,vlc_sliced,none,AoS,enabled,4047865,1863965
