Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2025-02-01 23:34:15,1130,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,7213406,719072
2025-02-01 23:34:30,7130,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,7190929,686893
