Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-11-13 16:03:24,282,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,3452863,2907862
2024-11-13 16:03:56,6315,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,4818461,2695110
