Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-11-13 16:25:31,1130,VerletListsCells,1.000000,vlc_sliced,none,AoS,enabled,7717440,2358854
2024-11-13 16:26:04,7130,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,10263248,2324179
