Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2025-02-01 19:12:10,321,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,5885156,1212456
2025-02-01 19:12:23,6366,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,6717813,840425
