Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2025-01-30 18:38:52,324,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,5070482,1087904
2025-01-30 18:39:05,6369,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,5941350,815616
