Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2025-01-30 18:39:03,858,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,6417162,988791
2025-01-30 18:39:18,6946,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,9030748,917805
