Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-11-03 20:24:37,500,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,7644284,1720914
2024-11-03 20:24:58,6455,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,9212473,1836784
