Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-11-03 20:25:14,1130,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,8446868,1598449
2024-11-03 20:25:40,7130,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,8594144,1532541
