Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2025-01-30 18:32:15,1082,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,6039813,852546
2025-01-30 18:32:30,7118,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,7981026,885948
